Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1900000,0.009697366,None,4880.0,0.68516445,None,None,0.01707979,0.067238785,0.0002886328,1.0
1910000,0.009580521,None,4905.0,0.65815413,None,None,0.016050847,0.07450887,0.00028856937,1.0
1920000,0.011237263,None,4934.0,0.674576,None,None,0.016757935,0.0661466,0.00028850566,1.0
1930000,0.008758539,None,4961.0,0.7149675,None,None,0.022814041,0.06413493,0.00028844867,1.0
1940000,0.010892748,None,4985.0,0.6972963,None,None,0.016531285,0.07165389,0.0002883912,1.0
1950000,0.011312645,None,5014.0,0.6979457,None,None,0.02041213,0.0673957,0.0002883271,1.0
1960000,0.009615339,None,5047.0,0.7069836,None,None,0.018977642,0.068570405,0.00028826858,1.0
1970000,0.011304514,None,5072.0,0.7028992,None,None,0.01786596,0.06952228,0.00028821063,1.0
1980000,0.01126657,None,5097.0,0.6797701,None,None,0.016667722,0.06524127,0.00028814696,1.0
1990000,0.010370184,None,5128.0,0.6858642,None,None,0.018360743,0.067490935,0.0002880892,1.0
2000000,0.009711459,None,5158.0,0.6871845,None,None,0.019970367,0.07232055,0.0002880319,1.0
2010000,0.009250929,None,5185.0,0.7202326,None,None,0.018487591,0.068847165,0.00028796823,1.0
2020000,0.009277278,None,5213.0,0.74958694,None,None,0.02133859,0.06603423,0.00028791028,1.0
2030000,0.011045096,None,5241.0,0.74940777,None,None,0.019383432,0.0719088,0.00028785312,1.0
2040000,0.009523582,None,5275.0,0.7043788,None,None,0.016941568,0.07028708,0.00028778915,1.0
2050000,0.008067429,None,5299.0,0.70448846,None,None,0.018077107,0.064158365,0.00028773161,1.0
2060000,0.008770972,None,5326.0,0.7198378,None,None,0.020360414,0.07270468,0.00028767393,1.0
2070000,0.009523289,None,5356.0,0.72000873,None,None,0.020064404,0.067374274,0.0002876102,1.0
2080000,0.009420332,None,5382.0,0.7102032,None,None,0.017067786,0.068288736,0.00028754646,1.0
2090000,0.010010038,91622.0,5414.0,0.68602246,648.6000076085329,648.6000076085329,0.01811996,0.06473909,0.00028748924,1.0
2100000,0.009616717,None,5443.0,0.6895227,None,None,0.0214269,0.066344626,0.00028743147,1.0
