Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1100000,0.0077818893,3657.3333333333335,0.27674586,9.675000105053186,9.675000105053186,666.0,0.01461334,0.07028848,0.00029342857,1.0
1110000,0.002725318,6403.0,0.27134305,15.950000196695328,15.950000196695328,685.0,0.014522232,0.07022085,0.00029337144,1.0
1120000,0.0025598917,3493.6666666666665,0.2727308,10.933333434164524,10.933333434164524,701.0,0.013328284,0.07193358,0.00029330794,1.0
1130000,0.0027663345,2197.75,0.2755419,5.125000067055225,5.125000067055225,713.0,0.014460888,0.06776714,0.0002932509,1.0
1140000,0.0014925213,None,0.28179795,None,None,727.0,0.008857773,0.06606193,0.00029319362,1.0
1150000,0.0013890419,None,0.30118063,None,None,740.0,0.007723341,0.06916596,0.00029312953,1.0
1160000,0.00217229,5506.5,0.28849944,15.650000214576721,15.650000214576721,758.0,0.0127305435,0.07026148,0.00029306606,1.0
1170000,0.0013264308,None,0.2754737,None,None,771.0,0.0067920713,0.06149064,0.0002930089,1.0
1180000,0.0019227127,2030.0,0.2968994,6.70000009983778,6.70000009983778,792.0,0.009324255,0.064611055,0.00029295153,1.0
1190000,0.0026133177,6729.0,0.28901374,19.520000188052656,19.520000188052656,806.0,0.01393276,0.06943099,0.00029288768,1.0
1200000,0.0011928661,5880.0,0.26103058,14.900000169873238,14.900000169873238,819.0,0.009813075,0.07157296,0.00029283046,1.0
1210000,0.0017145418,2015.0,0.27540007,5.500000029802322,5.500000029802322,836.0,0.01066309,0.069710195,0.00029277327,1.0
1220000,0.0025239822,2523.3333333333335,0.26784748,6.033333400885264,6.033333400885264,851.0,0.013070817,0.065216936,0.0002927102,1.0
1230000,0.002385206,5378.0,0.26698244,15.125000173225999,15.125000173225999,866.0,0.014612922,0.06909561,0.00029264682,1.0
1240000,0.0020421867,1164.75,0.2781601,2.4750000443309546,2.4750000443309546,888.0,0.011773036,0.068047255,0.00029258995,1.0
1250000,0.0024326225,7388.25,0.2839171,21.37500019557774,21.37500019557774,907.0,0.014777601,0.06651479,0.00029253322,1.0
1260000,0.0020194778,647.3333333333334,0.2424576,0.26666667809089023,0.26666667809089023,918.0,0.012666074,0.06948158,0.00029246954,1.0
1270000,0.0013692923,3819.0,0.23541504,8.90000008046627,8.90000008046627,936.0,0.00815522,0.067995705,0.00029241087,1.0
1280000,0.002746066,3232.5,0.23947032,8.15000007674098,8.15000007674098,950.0,0.00931553,0.06649065,0.00029235327,1.0
1290000,0.0019421986,1399.0,0.23112014,1.1500000469386578,1.1500000469386578,964.0,0.010451958,0.06671021,0.00029228898,1.0
1300000,0.0015703968,2180.0,0.24609628,3.9500000812113285,3.9500000812113285,979.0,0.011108348,0.07456613,0.00029223168,1.0
1310000,0.0022879795,4837.0,0.26082784,12.82500017248094,12.82500017248094,996.0,0.014272749,0.07114123,0.0002921742,1.0
1320000,0.0019178907,2785.25,0.2535552,7.150000084191561,7.150000084191561,1013.0,0.0127166305,0.06439982,0.0002921108,1.0
1330000,0.0029294232,4951.0,0.2693443,15.833333497246107,15.833333497246107,1029.0,0.012362399,0.06273331,0.00029204704,1.0
1340000,0.0019146317,893.3333333333334,0.25408483,1.333333358168602,1.333333358168602,1041.0,0.013917746,0.06486982,0.0002919888,1.0
1350000,0.00193961,7918.5,0.25886896,20.200000196695328,20.200000196695328,1057.0,0.011891485,0.06512677,0.0002919314,1.0
1360000,0.0018969486,3612.0,0.25967732,8.600000116974115,8.600000116974115,1069.0,0.009409998,0.0691247,0.00029186724,1.0
1370000,0.0022276149,2321.5,0.2599616,4.700000066310167,4.700000066310167,1085.0,0.010866422,0.06609337,0.00029181043,1.0
